arm,regime,drift_family,events,positives,alarms,true_positives,false_positives,negatives,label_rate,alarm_rate,recall,false_positive_rate
C,NA,load_ramp,55,1,26,1,25,54,0.01818181818181818,0.4727272727272727,1.0,0.46296296296296297
C,NA,nominal,175,9,66,1,65,166,0.05142857142857143,0.37714285714285717,0.1111111111111111,0.39156626506024095
C,NA,parameter_change,38,2,12,1,11,36,0.05263157894736842,0.3157894736842105,0.5,0.3055555555555556
C,NA,topology_change,32,1,7,0,7,31,0.03125,0.21875,0.0,0.22580645161290322
G,ample,load_ramp,35,2,0,0,0,33,0.05714285714285714,0.0,0.0,0.0
G,ample,nominal,112,4,2,0,2,108,0.03571428571428571,0.017857142857142856,0.0,0.018518518518518517
G,ample,parameter_change,30,3,0,0,0,27,0.1,0.0,0.0,0.0
G,ample,topology_change,23,2,1,0,1,21,0.08695652173913043,0.043478260869565216,0.0,0.047619047619047616
G,moderate,load_ramp,44,1,0,0,0,43,0.022727272727272728,0.0,0.0,0.0
G,moderate,nominal,102,6,5,1,4,96,0.058823529411764705,0.049019607843137254,0.16666666666666666,0.041666666666666664
G,moderate,parameter_change,30,1,1,0,1,29,0.03333333333333333,0.03333333333333333,0.0,0.034482758620689655
G,moderate,topology_change,24,1,1,0,1,23,0.041666666666666664,0.041666666666666664,0.0,0.043478260869565216
G,severe,load_ramp,29,0,6,0,6,29,0.0,0.20689655172413793,,0.20689655172413793
G,severe,nominal,116,4,30,1,29,112,0.034482758620689655,0.25862068965517243,0.25,0.25892857142857145
G,severe,parameter_change,30,1,7,0,7,29,0.03333333333333333,0.23333333333333334,0.0,0.2413793103448276
G,severe,topology_change,25,1,9,0,9,24,0.04,0.36,0.0,0.375
T,NA,load_ramp,35,1,35,1,34,34,0.02857142857142857,1.0,1.0,1.0
T,NA,nominal,100,3,97,3,94,97,0.03,0.97,1.0,0.9690721649484536
T,NA,parameter_change,37,2,36,2,34,35,0.05405405405405406,0.972972972972973,1.0,0.9714285714285714
T,NA,topology_change,28,2,28,2,26,26,0.07142857142857142,1.0,1.0,1.0
