sweep,level,lam_ratio,u_lmax,u_trace
uniform_age,0.0,1.0,0.0,0.0
uniform_age,0.1,0.999853317511647,5.86229681358796e-08,2.0845452418359404e-07
uniform_age,1.0,0.9986390898423798,5.445605707635111e-07,1.929725118321006e-06
uniform_age,3.0,0.9963954302478133,1.4455929696866744e-06,5.078407055870187e-06
uniform_age,10.0,0.9908268519624598,3.6994955377654625e-06,1.2405576319379852e-05
uniform_age,30.0,0.9805285941436818,7.935135008639935e-06,2.337178221227969e-05
uniform_loss,0.0,1.0,0.0,0.0
uniform_loss,0.01,0.9998213231417558,7.141208699983752e-08,9.397250207531155e-08
uniform_loss,0.05,0.9990807731842088,3.6766100909644143e-07,4.840975626292227e-07
uniform_loss,0.1,0.998091079987245,7.642626169706209e-07,1.0067607710770702e-06
uniform_loss,0.3,0.9931559250342963,2.753722798432342e-06,3.6177665640700587e-06
uniform_loss,0.5,0.9853970831502191,5.921719068762556e-06,7.65524779451999e-06
uniform_loss,0.9,0.9088420601371762,4.007637737914169e-05,4.031521136048351e-05
uniform_loss,1.0,4.858825360205582e-13,0.39997816612627696,0.23700134147160343
