channel,K_spectral_norm,provided_leverage,weak_axis_load,single_removal_lam_ratio
1,40000.0,0.019198543861763586,0.019198541011999717,0.993294982167282
4,40000.0,0.019198543861763586,0.019198541011999717,0.9932949821670639
8,40000.0,0.01911188504341654,0.019111884413108494,0.7839464757126121
7,40000.0,0.016753089298133544,0.016753087147085767,0.9966791546443745
16,40000.0,0.0038214723162645027,0.00382147276761781,0.9982943712562609
26,40000.0,0.003687357932068746,0.0036873572252883163,0.9966647620838507
24,40000.0,0.0033641161097105383,0.003364115401050655,0.9968435773393487
25,40000.0,0.003257596518755674,0.0032575958706415804,0.997031360815311
11,40000.0,0.002968221904367938,0.002968221139320067,0.9994759979279356
20,40000.0,0.0026912776465110384,0.002691276811277124,0.9993680644729805
9,40000.0,0.002114152238178946,0.0021141522985542453,0.9996277191927496
0,40000.0,0.000976354712454862,0.0009763552048030358,0.9996589838863305
3,40000.0,0.000976354712454862,0.0009763552048030358,0.9996589838869646
13,40000.0,0.0008224060782449752,0.0008224063721516624,0.9998181967656578
18,40000.0,0.0007034840960037872,0.0007034841774387449,0.999825297744107
12,40000.0,0.0002914137983683184,0.0002914138106643462,0.9999279135282725
15,40000.0,0.00025394593142446484,0.0002539457746950946,0.9997136617437009
19,40000.0,0.00024449296056231997,0.0002444931384830543,0.999945603873301
14,40000.0,0.00013972239485400672,0.00013972228047523606,0.9999674957629936
6,40000.0,0.00011701531674382242,0.00011701524446928222,0.9996379851717927
2,40000.0,7.215773686841502e-05,7.215785550826284e-05,0.999974692158633
5,40000.0,7.215773686841502e-05,7.215785550826284e-05,0.9999746921582502
17,40000.0,5.815770335547322e-05,5.8157826087503645e-05,0.9999683313639995
10,40000.0,1.28003034482611e-05,1.2800351013031842e-05,0.9999977412300765
44,33488631.449406788,7.73831332815709e-06,7.738310448348944e-06,0.9999972915698094
43,34605529.73612512,4.310687412628025e-06,4.3106872199475025e-06,0.9999984872872082
41,32046625.020504795,1.4304358709243728e-06,1.4304352606510307e-06,0.9999994977220978
40,26200642.993061557,1.155679416553456e-06,1.1556793511964193e-06,0.9999995943292839
35,1744838018.8145134,6.175258332023659e-07,6.175259652555681e-07,0.999756111254301
42,30834744.542722058,5.06195568876064e-07,5.061960310753666e-07,0.9999998226054515
38,1897737562.2055545,4.810285383656839e-07,4.810285035612898e-07,0.9998169057269527
33,1624600686.5124288,4.0481735849715105e-07,4.0481737025135214e-07,0.9998461057192364
39,27282463.035659265,2.7552095681466945e-07,2.755211427841361e-07,0.9999999031846536
36,1677686339.4381857,2.2957270597628914e-07,2.2957265448358617e-07,0.9999095760580937
31,1517109417.8953917,1.5779448810173648e-07,1.57794413305122e-07,0.9999999445171763
27,1209374742.062912,1.2950050721499697e-07,1.2950054542574711e-07,0.9999999544652599
30,1349628424.7533543,8.958713738164499e-08,8.958713639138479e-08,0.9999999685013388
32,1468344040.151782,8.283489810352009e-08,8.283491965288578e-08,0.9999999708758374
37,1958751133.5948513,7.730321605900854e-08,7.730313308574757e-08,0.999969986436128
28,1156769259.0446854,2.4046493043320452e-08,2.40464959494071e-08,0.9999999915470796
22,40000.0,3.723391193127475e-10,3.7233922117894963e-10,0.9999999999358117
34,1551837338.0347664,2.7351279252825044e-10,2.7350857389472616e-10,0.9999998995820617
29,1402089242.9037228,2.7304239370128527e-10,2.730404402951976e-10,0.9999999999035848
23,40000.0,1.3196339316063456e-10,1.3196331614609618e-10,0.9999999999777356
21,40000.0,7.621334789578153e-11,7.62133442142313e-11,0.9999999999862785
